45184	Nihilism	Nihilism  Nihilism comes from the Latin nihil, or nothing. It is the belief that values are falsely invented. The term nihilism can also be used to describe the idea that life, or the world, has no distinct meaning or purpose. Nihilists believe that there are no true morals. The term was made popular by Ivan Turgenev's novel Fathers and Sons. Bazarov, the hero in it, was a nihilist. Most people think of the German philosopher Friedrich Nietzsche when they think about nihilism, because he said that morals were invented. Even people who know about Nietzsche call him a nihilist (someone who practices nihilism.) But in his books, Nietzsche said that people needed to create their own morals to get over nihilism. Other than him, very few famous philosophers are nihilists. However, nihilism is still an important topic for students learning all the major philosophy categories. Apart from Nietzsche, a popular text which draws heavily on nihilism is the novel Crime and Punishment by Fyodor Dostoevsky. Nihilism is associated with postmodernism.  
45189	Licensed to Ill	Licensed to Ill  "Licensed to Ill" is the first album of the Beastie Boys, released on November 1986.  
45195	Coronary heart disease	Coronary heart disease  Coronary heart disease, also called coronary artery disease, is a heart disease. ("Coronary" means "the blood vessels of the heart".) Coronary heart disease causes plaque to build up inside the coronary arteries. This causes the coronary arteries to become narrower. An artery is a blood vessel - a tube that carries blood. After the heart supplies blood that is full of oxygen and nutrients, the arteries carry the blood to different parts of the body. The coronary arteries are very important: they supply blood to the heart muscle. So when the coronary arteries become narrower, less blood gets to the heart muscle. Most people with coronary heart disease can feel healthy for years before they start experiencing symptoms. The most common symptom is a heart attack. If coronary heart disease is not treated, some of the plaques in the coronary arteries can break away and block the blood flow to the heart. Coronary heart disease is the most common cause of sudden death. It is also the most common cause of death in people over 65 years old. Men are 10 times more likely to get coronary heart disease than women. Atherosclerosis. Atherosclerosis is a form of heart disease. It causes fatty materials (like cholesterol) to build up in the arteries, forming harder materials called plaques. This causes the arteries to become harder. It also makes it more difficult for blood to flow through the arteries. This can cause blood clots to form, blocking blood from traveling through the arteries. Small pieces of plaque can also break off and block smaller blood vessels. If an artery becomes blocked completely, it causes serious problems. All cells, tissues, and organs in the body need oxygen and nutrients (carried by blood) to survive. If cells or tissues are not supplied with enough blood, they will die. (This is called necrosis.) When this happens in the coronary arteries, a section of the heart dies. This can cause a myocardial infraction (a heart attack) to happen. Preventing coronary heart disease. People can do many different things to keep themselves from getting coronary heart disease: Atherosclerosis  
45200	Fructose	Fructose  Fructose is a simple sugar (monosaccharide) found in many foods. It is also one of the three most important blood sugars, the other two being glucose and galactose. Honey; tree fruits; berries; melons; and some root vegetables, such as beets, sweet potatoes, parsnips and onions, contain fructose, usually with sucrose and glucose.  
45202	Peer pressure	Peer pressure  Peer pressure is a force that happens within a group of people. It often happens to children during puberty. The group defines some social values. For somebody to stay "cool" in that group, they feel as if they have to act like other people in that group. Social pressure (and wanting to be accepted or in favor inside the group) leads people to do things they would not do otherwise. For example, it can make a person to smoke cigarettes or marijuana, to drink alcohol, commit crimes, and/or many other things.  
45203	Cuticle	Cuticle  In biology, a cuticle is something that covers the outside of living things called organisms. Cuticles are usually tough but also bendable. In plants, cuticles in the leaves help it from losing too much water by evaporation.  
45208	Leek	Leek  Leek is a vegetable. It belongs to the genus "Allium". This is the same genus as the onion and garlic. It can be used for cooking. It is similar to the Chinese onion but it is bigger in size.  
45209	Great power	Great power  A great power is a nation or state that is able to influence other states in most of the world. That is possible because it has great economic, political and military strength. Its opinions are taken into account by other nations before taking diplomatic or military action. Characteristically, they have the ability to intervene militarily almost anywhere, and they also have soft, cultural power, often in the form of economic investment in less developed portions of the world. Great powers. The great powers today are:  
45213	Bite	Bite  A bite is a wound received from the teeth of an animal. Animals may bite things in self-defence. Animals also bite things to cut them into smaller pieces before they eat them. Bites can cause many medical problems, such as: Treatment. Bite wounds should be washed, ideally with povidone-iodine soap and water. The injury should then be loosely wrapped with a bandage. Open bite wounds are not sutured because of the risk of infection. Animal bites caused by carnivores (other than rodents) may infect the victim with rabies if the animal that bit them carries it. If possible, the animal is caught and the head is looked at for signs of rabies. Signs of rabies include foaming at the mouth, self-mutilation, growling, jerky behaviour, and red eyes. If the animal lives for ten days and does not develop rabies, then the animal probably is not infected. In cases where the animal cannot be found, prophylactic rabies treatment is carried out in most places. Snake bites. Many of the world's snakes are not considered dangerous to humans, but even a bite from a "safe" snake may injure the victim if the wound is not treated properly, and large snakes such as constrictors are capable of causing a lot of damage with their bites. Spider bites. The black widow spider and some scorpions are considered dangerous to humans, mostly to small children and elderly adults. Only the Sydney funnel-web spider of Australia is frequently dangerous to adults, and it lives only within 100 miles of Sydney. Antivenins are available in the United States for black widow spiders and the dangerous scorpions native to the region.  
45217	Northern Europe	Northern Europe  Northern Europe is the northern part of the European continent. Most people see the following states as part of it: Europe, the planet's 6th largest continent, includes 47 countries and assorted dependencies, islands and territories. Before the 19th century, the term 'Nordic' or 'Northern' was commonly used to mean Northern Europe in a sense that included the Nordic countries, European Russia, the Baltic countries (at that time Livonia and Courland) and Greenland. In earlier eras, when Europe was dominated by the Mediterranean region (i.e. the Roman Empire), everything not near this sea was termed Northern Europe, including Germany, the Low Countries, and Austria. In medieval times, the term (Ultima) Thule was used to mean a semi-mythical place in the extreme northern reaches of the continent. In a European Union context, Denmark, Sweden, Finland, Germany, Belgium and the Netherlands are often seen as belonging to a Northern group.  
45219	Western Europe	Western Europe  Western Europe in the first place is a geographic region of Europe and includes the following eleven countries: During the Cold War, "Western Europe" was mainly a socio-political concept and meant the European countries of the First World. It was distinguished from Eastern Europe by differences of economics, politics, and religion rather than by clear geography. Today, the term "Western Europe" has less to do with geography and more to do with economics. The concept is also commonly associated with liberal democracy, capitalism and also with the European Union. Most of the countries in the region share Western culture, and many have economic, and political ties with countries in North and South America and Oceania. In addition, Scandinavia (in Northern Europe) is commonly associated with social democracy and remains fairly neutral throughout international disputes.  
45228	Furnace	Furnace  A Furnace is a device used for heating. The word has different meanings, though:  
45230	Southern Europe	Southern Europe  Southern Europe is a region of the European continent. Most people see Spain, Portugal, Italy and Greece and over all the Mediterranean countries of the European continent as parts of Southern Europe. Very often the South of France is also included. Geographical definition. Geographically, Southern Europe would be the south half of the landmass of Europe. This definition is relative, with no clear limits. The Alps mountains are a physical barrier between Italy and the rest of Europe. Geopolitical definition of the United Nations. For its official works and publications, the United Nations Organization has its own special definition of regions. As it counts always the whole state Corsica as part of France is not part of Southern European but Italian Tyrol belongs to it as it is part of Italy.. Climatical definition. The climatic definition of southern Europe would be similar to the areas of Mediterranean climate. The Mediterranean climate is often thought to be a typical characteristic of Southern Europe. Linguistic and cultural definition. Countries of Latin Europe are often associated with the concept of Southern Europe, especially Southwest Europe. Greece and the Balkan nations are often associated with them in the concept of Southern Europe, especially Southeast Europe. List of countries. Although there is no precise definition, the following territories are commonly thought to be parts of Southern Europe:  
